epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,876629.0,870629.0,6000.0,6013,6009,4,0.006844400538882461,0.20281128833536605,0.10577597602799123,0.04716665609961192,0.8341421080610341,0.15449936632258332,0,0.0,4,0.029655897648692586,89732.0,3000.0,331,0.12548828125,135978.0,0.0,335,0.069580078125,86824.0,0.0,332,0.1283890597398712,140392.0,1500.0,326,0.20281128833536605,173412.0,1500.0,336,0.093994140625,83784.0,0.0,330,0.10595703125,81184.0,0.0,330,0.09033203125,85323.0,0.0,331
1,712042.0,656158.0,55884.0,4102,4062,40,0.0784841343628605,0.2137884253767181,0.1484122390406714,0.051128659286588,0.8939080950033628,0.17114510099123348,0,0.0,40,0.06217217207336901,64904.0,7500.0,154,0.2137884253767181,120307.0,12000.0,329,0.15986339355197618,88263.0,9128.0,332,0.1787343721161169,127324.0,7628.0,333,0.21314624712469882,123411.0,10500.0,327,0.12029889607014765,65540.0,3000.0,332,0.14717406595458726,65764.0,3000.0,332,0.09212034005775747,56529.0,3128.0,334
2,668809.0,612733.0,56076.0,3913,3873,40,0.0838445654888016,0.2506065454514242,0.17495989019227876,0.06407105409219055,0.8817521454350201,0.1706374689933896,0,0.0,40,0.0637833999576044,65014.0,7500.0,165,0.20330379796398984,101958.0,4756.0,332,0.20520237516225887,95815.0,7500.0,335,0.2344746173882526,115775.0,13500.0,329,0.2506065454514242,111515.0,12256.0,336,0.19188190296162191,80297.0,3064.0,326,0.17137800562805208,53843.0,4500.0,336,0.07904847702502615,44592.0,3000.0,333
3,733975.0,677610.0,56365.0,4406,4366,40,0.07679416873871715,0.29319783364541274,0.20708223117908958,0.0689501826357336,0.9002013157866552,0.156618583739228,0,0.0,40,0.08360826011471946,79743.0,8109.0,246,0.26512773650553995,110374.0,7500.0,341,0.19839472958195656,77945.0,3000.0,335,0.2731918841048536,135436.0,12128.0,333,0.29319783364541274,124968.0,13628.0,333,0.1928688129980662,57033.0,4500.0,329,0.22667409170489322,77716.0,3000.0,330,0.12359450077727485,70760.0,4500.0,334
4,677679.0,630076.0,47603.0,3694,3657,37,0.07024417165058962,0.30815796756692754,0.2145899878461135,0.08424940784356304,0.8664461582677014,0.1656423985397213,0,0.0,37,0.06442207905116003,65509.0,7596.0,298,0.2870698360733224,104456.0,6000.0,326,0.22891550044074194,81964.0,4628.0,336,0.30815796756692754,118336.0,15128.0,335,0.3043168741200447,123941.0,8187.0,332,0.17919926444696818,53426.0,3000.0,331,0.232080078125,66041.0,0.0,335,0.11255830294474309,64006.0,3064.0,323
5,696672.0,648235.0,48437.0,3869,3836,33,0.06952626199990802,0.35255950171513367,0.24319958033662162,0.09546485076091407,0.8664870396517352,0.15475288227458517,0,0.0,33,0.0667775207882832,62663.0,7500.0,120,0.3349221758213593,112485.0,6000.0,333,0.3013902801286185,80091.0,10500.0,335,0.2983634432858243,114558.0,9000.0,332,0.35255950171513367,122075.0,13500.0,333,0.2125,77723.0,0.0,329,0.2538884084537541,52524.0,1937.0,329,0.1251953125,74553.0,0.0,334
6,775231.0,616087.0,159144.0,4694,3958,736,0.205285908329259,0.6134402363243805,0.30984657616194067,0.15697618646527778,0.7957542185017596,0.2072999854236992,1,0.0,24,0.05033555081046717,65510.0,6000.0,133,0.39363375741097484,101138.0,16204.0,335,0.29222069526390393,81990.0,3000.0,334,0.40773859571498794,140268.0,20088.0,333,0.6134402363243805,177941.0,106352.0,330,0.25391666443493416,68846.0,3000.0,335,0.28847835378862946,62177.0,1500.0,333,0.17900875554724738,77361.0,3000.0,331
7,671883.0,496618.0,175265.0,3796,2975,821,0.2608564288722884,0.6007529649226225,0.3327611950617493,0.19319556252017614,0.7479001602138928,0.1810599836578688,1,0.0,0,0.0384765625,99802.0,0.0,214,0.5438238069906097,104909.0,51927.0,335,0.299560546875,82579.0,0.0,339,0.6007529649226225,126882.0,76692.0,328,0.5371416948307621,98391.0,46646.0,333,0.24833984374999998,65955.0,0.0,339,0.26318359375,45019.0,0.0,331,0.130810546875,48346.0,0.0,334
8,685029.0,589683.0,95346.0,3840,3327,513,0.1391853483575146,0.5780569350486815,0.3144213630830811,0.1570918519502395,0.8002418574457881,0.11386981427063647,7,0.0,0,0.0052734374999999995,90623.0,0.0,335,0.3713813698510934,91761.0,12652.0,335,0.38810523911032746,78928.0,11796.0,333,0.31814090287446123,76136.0,2688.0,331,0.5780569350486815,102292.0,56886.0,331,0.24736328124999998,53628.0,0.0,329,0.40079973903008526,76019.0,11324.0,328,0.20625,115642.0,0.0,337
9,723908.0,589427.0,134481.0,4195,3438,757,0.18577084380888154,0.4970241100431504,0.3619754404419333,0.1459739661125464,0.8601211002551487,0.16226578515501955,0,0.0,0,0.05654296875,124962.0,0.0,330,0.4970241100431504,104977.0,41366.0,339,0.4920222491471147,81928.0,31488.0,333,0.48941994843033565,77668.0,29492.0,335,0.4722417127387228,86894.0,29959.0,334,0.28867187499999997,77928.0,0.0,332,0.3166287063011432,40694.0,2176.0,335,0.28325195312499996,128857.0,0.0,332
