epoch,bucket,queue,bytes
0,0,1,29416.0
0,1,3,0.0
0,2,1,28144.0
0,3,5,61009.0
0,4,7,10034.0
0,5,5,7279.0
0,6,1,14366.0
0,7,0,20559.0
0,8,0,7053.0
0,9,7,10246.0
0,10,6,47280.0
0,11,7,15439.0
0,12,3,0.0
0,13,5,10811.0
0,14,7,12941.0
0,15,6,5666.0
0,16,2,6075.0
0,17,7,4440.0
0,18,7,60864.0
0,19,0,20800.0
0,20,0,0.0
0,21,4,8151.0
0,22,6,1844.0
0,23,0,29010.0
0,24,0,19011.0
0,25,2,0.0
0,26,7,0.0
0,27,5,17281.0
0,28,4,8442.0
0,29,4,16887.0
0,30,7,3158.0
0,31,2,75.0
0,32,3,4897.0
0,33,0,14121.0
0,34,3,8113.0
0,35,6,17811.0
0,36,6,0.0
0,37,4,1561.0
0,38,6,34713.0
0,39,1,4603.0
0,40,2,16264.0
0,41,0,0.0
0,42,3,0.0
0,43,4,0.0
0,44,4,6173.0
0,45,4,43302.0
0,46,0,74357.0
0,47,1,28887.0
0,48,3,46573.0
0,49,4,2037.0
0,50,0,18744.0
0,51,5,15011.0
0,52,2,54069.0
0,53,5,39061.0
0,54,6,44186.0
0,55,6,8100.0
0,56,5,10603.0
0,57,5,10406.0
0,58,0,4185.0
0,59,0,32069.0
0,60,2,29830.0
0,61,1,32252.0
0,62,3,110549.0
0,63,4,12477.0
0,64,6,9816.0
0,65,1,4383.0
0,66,3,7364.0
0,67,6,25876.0
0,68,4,1670.0
0,69,5,8425.0
0,70,3,11527.0
0,71,7,21257.0
0,72,7,7378.0
0,73,0,5269.0
0,74,5,16599.0
0,75,2,27694.0
0,76,4,27084.0
0,77,0,19581.0
0,78,2,5011.0
0,79,4,27643.0
0,80,3,41062.0
0,81,6,12094.0
0,82,3,0.0
0,83,5,18651.0
0,84,5,15157.0
0,85,0,25369.0
0,86,0,9382.0
0,87,0,19132.0
0,88,3,0.0
0,89,7,18353.0
0,90,7,28126.0
0,91,4,0.0
0,92,2,19527.0
0,93,4,24031.0
0,94,4,36619.0
0,95,6,5505.0
0,96,4,0.0
0,97,4,85768.0
0,98,2,0.0
0,99,5,15467.0
0,100,2,5463.0
0,101,2,17142.0
0,102,0,17605.0
0,103,2,44235.0
0,104,4,71626.0
0,105,3,7308.0
0,106,4,0.0
0,107,6,13014.0
0,108,6,0.0
0,109,4,36492.0
0,110,6,23897.0
0,111,3,9026.0
0,112,7,8458.0
0,113,5,12714.0
0,114,1,24778.0
0,115,3,34171.0
0,116,4,30684.0
0,117,6,25356.0
0,118,2,10658.0
0,119,2,8952.0
0,120,5,2495.0
0,121,2,14947.0
0,122,0,10685.0
0,123,5,0.0
0,124,5,6513.0
0,125,6,11871.0
0,126,5,45285.0
0,127,1,11032.0
1,0,1,23374.0
1,1,3,0.0
1,2,1,17137.0
1,3,5,78879.0
1,4,7,9217.0
1,5,5,12008.0
1,6,1,0.0
1,7,0,26540.0
1,8,0,2726.0
1,9,7,15625.0
1,10,6,42084.0
1,11,7,29411.0
1,12,3,0.0
1,13,5,80749.0
1,14,7,14144.0
1,15,6,0.0
1,16,2,1541.0
1,17,7,0.0
1,18,7,106517.0
1,19,0,2767.0
1,20,0,0.0
1,21,4,0.0
1,22,6,6475.0
1,23,0,14390.0
1,24,0,29327.0
1,25,2,0.0
1,26,7,0.0
1,27,5,10982.0
1,28,4,14351.0
1,29,4,12006.0
1,30,7,0.0
1,31,2,0.0
1,32,3,16713.0
1,33,0,1650.0
1,34,3,489.0
1,35,6,14446.0
1,36,6,0.0
1,37,4,0.0
1,38,6,36886.0
1,39,1,11709.0
1,40,2,9255.0
1,41,0,0.0
1,42,3,0.0
1,43,4,0.0
1,44,4,19604.0
1,45,4,23848.0
1,46,0,31616.0
1,47,1,48632.0
1,48,3,13458.0
1,49,4,5564.0
1,50,0,8753.0
1,51,5,9786.0
1,52,2,36458.0
1,53,5,4430.0
1,54,6,41068.0
1,55,6,3881.0
1,56,5,701.0
1,57,5,2529.0
1,58,0,6027.0
1,59,0,13927.0
1,60,2,12877.0
1,61,1,40478.0
1,62,3,125512.0
1,63,4,7509.0
1,64,6,6008.0
1,65,1,7500.0
1,66,3,1058.0
1,67,6,14805.0
1,68,4,5703.0
1,69,5,11537.0
1,70,3,5520.0
1,71,7,76964.0
1,72,7,10635.0
1,73,0,12439.0
1,74,5,128.0
1,75,2,9444.0
1,76,4,16030.0
1,77,0,21393.0
1,78,2,9358.0
1,79,4,15155.0
1,80,3,24406.0
1,81,6,17278.0
1,82,3,0.0
1,83,5,23051.0
1,84,5,21315.0
1,85,0,16427.0
1,86,0,7658.0
1,87,0,10743.0
1,88,3,0.0
1,89,7,28729.0
1,90,7,19633.0
1,91,4,0.0
1,92,2,12573.0
1,93,4,17727.0
1,94,4,9082.0
1,95,6,15992.0
1,96,4,1142.0
1,97,4,83739.0
1,98,2,0.0
1,99,5,14956.0
1,100,2,2771.0
1,101,2,13052.0
1,102,0,4155.0
1,103,2,42893.0
1,104,4,94488.0
1,105,3,8385.0
1,106,4,0.0
1,107,6,0.0
1,108,6,0.0
1,109,4,14615.0
1,110,6,17557.0
1,111,3,0.0
1,112,7,3742.0
1,113,5,9530.0
1,114,1,31284.0
1,115,3,21651.0
1,116,4,19738.0
1,117,6,17338.0
1,118,2,13394.0
1,119,2,27889.0
1,120,5,11381.0
1,121,2,7467.0
1,122,0,13307.0
1,123,5,0.0
1,124,5,8490.0
